path,size,ext,bucket,linked,dup_of,disposition
atm/PHASE180B_ATM_PAPER_SCALE_UP_RISK_POLICY.md,3321,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm/PHASE189C_MISSING_STOP_ROOT_CAUSE_TRACE.md,6157,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE192J_AUDIT_LOG_AND_LEARNING_LINKAGE.md,1800,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE189G_DURABLE_PROTECTION_REMEDIATION_PLAN.md,5053,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE191A_PROTECTION_UI_VISIBILITY_VERIFICATION.md,1441,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE191G_ANY_SNOW_PROFIT_PROTECTION_ADVISORY_REPORT.md,3041,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE188A_ELMT_MARKET_OPEN_REVALIDATION.md,2803,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE192I_OPERATOR_APPROVAL_EXECUTION_ENDPOINT_REPORT.md,2187,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE190H_PROTECTION_VERIFICATION_RUNTIME_TEST.md,2064,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE188C_OPEN_POSITION_TRAILING_ELIGIBILITY_AUDIT.md,3566,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE186J_EXTENDED_HOURS_RISK_GATES.md,2638,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE192K_ANY_SNOW_DRYRUN_V2_V3_RUNTIME_VERIFICATION.md,2420,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE191D_TRADEAI_PROFIT_PROTECTION_SCORING_MODEL.md,2693,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE186M_AUTO_APPROVER_TRAILING_STOP_IMPLEMENTATION_PLAN.md,3446,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE180D_ATM_PAPER_ONLY_GUARDRAILS_REPORT.md,2561,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm/PHASE191C_PROFIT_PROTECTION_ADVISORY_GAP_ROOT_CAUSE.md,3035,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE189A_MARKET_OPEN_WATCH_SCHEDULE_REPORT.md,2056,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE191I_PROFIT_PROTECTION_ALERT_POLICY.md,1941,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE192H_COMMAND_CENTER_V3_WIRING_REPORT.md,2529,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE186H_ALPACA_EXTENDED_HOURS_CAPABILITY_AUDIT.md,3472,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE186C_STAGE1_TOMORROW_CANDIDATE_PIPELINE_REPORT.md,2354,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE192F_SHARED_UI_COMPONENT_OR_V2_V3_PLAN.md,2069,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE186G_BROKER_ACCOUNT_ROUTING_CORRECTION_AUDIT.md,2790,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE186I_AUTO_APPROVER_TIMING_CORRECTION_DESIGN.md,2958,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE186B_STAGE1_FEED_PREFLIGHT_REPORT.md,805,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE192_V3_PROTECTION_PANEL_HANDOFF.md,7057,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE191F_INLINE_ATM_PROFIT_PROTECTION_PANEL.md,2364,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE190F_ATM_PROTECTION_DASHBOARD_UPDATE.md,2055,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE188E_MARKET_OPEN_OPERATOR_DIGEST.md,2370,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE189E_MARKET_OPEN_OPERATOR_DIGEST.md,3333,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE188D_PAPER_STOP_TAKE_PROFIT_RECOMMENDATIONS.md,3637,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE192G_COMMAND_CENTER_V2_WIRING_REPORT.md,1762,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE180E_ATM_PAPER_SCALE_DASHBOARD_REPORT.md,3015,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE188B_SNOW_OPEN_POSITION_DETAIL_REVIEW.md,2747,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE189F_MARKET_OPEN_REVALIDATION_REPORT.md,4686,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE180A_ATM_CURRENT_CONFIGURATION_AUDIT.md,3713,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm/PHASE189B_EXTENDED_HOURS_BLOCKAGE_ROOT_CAUSE.md,5347,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE190G_PENDING_TRADING_WINDOW_LIFECYCLE_REPORT.md,2687,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE191B_OPEN_TRADE_PROFIT_PROTECTION_AUDIT.md,2289,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE186D_STAGE1_PAPER_PROPOSAL_PREVIEW.md,2284,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE190A_PROTECTION_METADATA_SCHEMA_WRITEPATH_AUDIT.md,2935,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE186A_STAGE1_PIPELINE_PRE_RUN_SAFETY.md,1603,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE192A_COMMAND_CENTER_V2_V3_PARITY_INVENTORY.md,4460,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE192C_OPERATOR_APPROVED_PROTECTION_ACTION_POLICY.md,2877,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/PHASE192B_PROFIT_PROTECTION_ADJUSTMENT_PREFLIGHT.md,1809,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm/atm_burnin_limited_active/day1/MONDAY_ATM_BURNIN_RUNBOOK_2026_05_26.md,4539,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm/atm_burnin_limited_active/day1/atm_active_deferral_report.md,1359,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
atm/atm_burnin_limited_active/day1/atm_active_preflight.md,2097,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
atm/atm_burnin_limited_active/day1/atm_active_config_change_plan.md,1195,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
atm/atm_burnin_limited_active/day1/atm_active_pre_stop_reconciliation.md,693,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
atm/atm_burnin_limited_active/day1/atm_active_strategy_scope.md,1057,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
atm/atm_burnin_limited_active/day1/atm_active_safety_audit.md,1167,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
screener_architecture/phase_screener_map4b_promoter_observation/00_README.md,2297,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map5b_dividend_promoter_observation/00_README.md,2504,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map5b_dividend_promoter_observation/map5b_safety_audit.md,857,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map1_strategy_coverage_repair/00_README.md,3731,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map1_strategy_coverage_repair/screener_map1_safety_audit.md,857,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map1_strategy_coverage_repair/screener_map1_drive_sync_server_restart.md,645,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map2_shadow_source_runs/map2_shadow_source_health_report.md,1682,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map2_shadow_source_runs/00_README.md,3910,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map2_shadow_source_runs/map2_safety_audit.md,840,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch5_schedule_stale_remediation/screener_arch5_completion_matrix.md,732,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch5_schedule_stale_remediation/stale_remediation_dry_run_report.md,282,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch5_schedule_stale_remediation/schedule_baseline_report.md,3090,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch5_schedule_stale_remediation/00_README.md,993,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch5_schedule_stale_remediation/screener_schedule_policy.md,1323,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch5_schedule_stale_remediation/screener_arch5_safety_audit.md,506,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/full_strategy_fit_apply_report.md,390,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/strategy_fit_migration_dry_run_report.md,546,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/no_proposal_no_trade_verification_report.md,598,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/sample_strategy_fit_dry_run_report.md,377,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/universe_strategy_baseline_report.md,2141,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/strategy_fit_migration_apply_report.md,509,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/screener_arch4_completion_matrix.md,856,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/strategy_fit_audit_data_model.md,1688,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/00_README.md,1152,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/strategy_fit_data_gaps_report.md,3379547,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/strategy_fit_coverage_report.md,1354,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/screener_arch4_safety_audit.md,709,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/full_strategy_fit_dry_run_report.md,390,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/screener_arch4_test_results.md,350,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/api_dashboard_integration_report.md,518,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_arch4_full_universe_strategy_fit/screener_arch4_preflight.md,603,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map5c_dividend_yield_enrichment/00_README.md,2018,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_afterhours_ready1_full_candidate_preparation/operator_observed_failure.md,966,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_afterhours_ready1_full_candidate_preparation/afterhours_ready1_safety_audit.md,610,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_afterhours_ready1_full_candidate_preparation/afterhours_candidate_preparation_dry_run_report.md,1849,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_afterhours_ready1_full_candidate_preparation/00_README.md,1115,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_afterhours_ready1_full_candidate_preparation/afterhours_runtime_verification_report.md,563,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_afterhours_ready1_full_candidate_preparation/afterhours_ready1_completion_matrix.md,771,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_afterhours_ready1_full_candidate_preparation/afterhours_digest_dry_run_report.md,362,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_afterhours_ready1_full_candidate_preparation/afterhours_candidate_preparation_apply_report.md,1849,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_afterhours_ready1_full_candidate_preparation/afterhours_migration_apply_report.md,539,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_income_dividend_scan_observation/00_README.md,2935,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map5d_dividend_quote_refresh/00_README.md,2646,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map5d_dividend_quote_refresh/map5d_safety_audit.md,972,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map4_production_family_thresholds/00_README.md,2153,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map4_production_family_thresholds/map4_safety_audit.md,1024,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map5_dividend_income_scoring/map5_safety_audit.md,973,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map5_dividend_income_scoring/00_README.md,2097,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map5_dividend_income_scoring/map5_restart_resync_verification.md,713,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map3_promoter_family_thresholds/map3_to_map4_implementation_plan.md,1409,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map3_promoter_family_thresholds/00_README.md,3594,.md,HISTORICAL-REPORT,True,,ARCHIVE
screener_architecture/phase_screener_map3_promoter_family_thresholds/map3_safety_audit.md,898,.md,HISTORICAL-REPORT,True,,ARCHIVE
ui_audits/2026-05-23_command_center_reliability_fix/DATA_PRODUCT_FRESHNESS_REGISTRY.md,3238,.md,HISTORICAL-REPORT,True,,ARCHIVE
ui_audits/2026-05-23_command_center_reliability_fix/ROOT_CAUSE_MATRIX.md,2893,.md,HISTORICAL-REPORT,True,,ARCHIVE
ui_audits/2026-05-23_command_center_reliability_fix/FIX_SUMMARY.md,3590,.md,HISTORICAL-REPORT,True,,ARCHIVE
ui_audits/post_8b348c3/VERIFICATION_MATRIX.md,4792,.md,HISTORICAL-REPORT,True,,ARCHIVE
ui_audits/2026-05-24_source_verification/REMAINING_FLAWS.md,4348,.md,HISTORICAL-REPORT,True,,ARCHIVE
ui_audits/2026-05-24_source_verification/SOURCE_BACKUP_VERIFICATION.md,1630,.md,HISTORICAL-REPORT,True,,ARCHIVE
ui_audits/2026-05-24_source_verification/CODE_FIX_VERIFICATION_MATRIX.md,1860,.md,HISTORICAL-REPORT,True,,ARCHIVE
ui_audits/2026-05-23_command_center_fix/ROOT_CAUSE_MATRIX.md,4248,.md,HISTORICAL-REPORT,True,,ARCHIVE
ui_audits/2026-05-23_command_center_fix/FIX_SUMMARY.md,3320,.md,HISTORICAL-REPORT,True,,ARCHIVE
design/STOP_MANAGEMENT_V2_DESIGN.md,9575,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
design/signal_freshness_audit_2026-05-15/AUDIT_FINDINGS.md,6220,.md,ACTIVE-SUBSYSTEM,True,,RETAIN
feeds/PHASE71A_FINVIZ_FEED_RESILIENCE_DESIGN.md,1412,.md,HISTORICAL-REPORT,False,,ARCHIVE
feeds/PHASE77A_RESEARCH_ONLY_FEED_FALLBACK_POLICY.md,780,.md,HISTORICAL-REPORT,False,,ARCHIVE
feeds/PHASE72E_OPS_BACKLOG_RECOVERY_UPDATE_DESIGN.md,379,.md,HISTORICAL-REPORT,False,,ARCHIVE
feeds/PHASE71B_FINVIZ_HEALTH_PREFLIGHT_SCRIPT_REPORT.md,486,.md,HISTORICAL-REPORT,False,,ARCHIVE
feeds/PHASE71C_FINVIZ_FAILURE_DEDUPE_INTEGRATION.md,284,.md,HISTORICAL-REPORT,False,,ARCHIVE
feeds/PHASE72A_FINVIZ_RECOVERY_EVIDENCE_INVENTORY.md,664,.md,HISTORICAL-REPORT,False,,ARCHIVE
feeds/PHASE72B_FINVIZ_THREE_CLEAN_RUN_VALIDATION.md,576,.md,HISTORICAL-REPORT,False,,ARCHIVE
feeds/PHASE72C_FINVIZ_COOKIE_ROTATION_RECOMMENDATION.md,347,.md,HISTORICAL-REPORT,False,,ARCHIVE
feeds/PHASE71D_FEED_FALLBACK_POLICY.md,511,.md,HISTORICAL-REPORT,False,,ARCHIVE
feeds/PHASE75A_THIRD_CLEAN_RUN_EVIDENCE.md,483,.md,HISTORICAL-REPORT,False,,ARCHIVE
feeds/PHASE71E_FEED_HEALTH_DASHBOARD_DESIGN.md,537,.md,HISTORICAL-REPORT,False,,ARCHIVE
system/SYSTEM_ACCESS_AND_APPLICATIONS_PAGE_REPORT.md,4096,.md,ACTIVE-SUBSYSTEM,False,,RETAIN
learning/PHASE194B_PROTECTION_PIPELINE_SCHEDULING.md,2122,.md,HISTORICAL-REPORT,False,,ARCHIVE
learning/PHASE194A_MFE_UNITS_FIX.md,2964,.md,HISTORICAL-REPORT,False,,ARCHIVE
learning/PHASE133_CLOSED_LOOP_LEARNING_LINEAGE_AUDIT.md,5505,.md,HISTORICAL-REPORT,False,,ARCHIVE
learning/PHASE138_140_LINEAGE_EFFECTIVENESS_OBSERVATION.md,1960,.md,HISTORICAL-REPORT,False,,ARCHIVE
learning/PHASE181E_PAPER_TRADE_BACKTEST_COMPARISON_INTEGRATION.md,2522,.md,HISTORICAL-REPORT,True,,ARCHIVE
learning/PHASE195A_CLOSE_TIMESTAMP_CAPTURE_FIX.md,2556,.md,HISTORICAL-REPORT,False,,ARCHIVE
learning/PHASE134_138_LEARNING_INFRASTRUCTURE.md,4260,.md,HISTORICAL-REPORT,False,,ARCHIVE
learning/PHASE196A_INTRADAY_MFE_SAME_DAY.md,2583,.md,HISTORICAL-REPORT,False,,ARCHIVE
learning/PHASE181C_CURRENT_PAPER_TRADE_LOOP_VALIDATION_REPORT.md,2414,.md,HISTORICAL-REPORT,True,,ARCHIVE
learning/PHASE193A_ADVISORY_OUTCOME_RECONCILER_DESIGN.md,2934,.md,HISTORICAL-REPORT,False,,ARCHIVE
learning/PHASE193B_RECONCILER_RUN_REPORT.md,2630,.md,HISTORICAL-REPORT,False,,ARCHIVE
learning/PHASE198A_THRESHOLD_TUNING_FRAMEWORK.md,2907,.md,HISTORICAL-REPORT,False,,ARCHIVE
learning/PHASE191H_PROFIT_PROTECTION_CLOSED_LOOP_LEARNING.md,2532,.md,HISTORICAL-REPORT,False,,ARCHIVE
learning/PHASE181D_HERMES_PAPER_TRADE_AUDIT_INTEGRATION.md,2237,.md,HISTORICAL-REPORT,True,,ARCHIVE
learning/PHASE181A_PAPER_TRADE_CLOSED_LOOP_FIELD_MAP.md,5631,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm_audit_2026_05_26/atm_reenable_risk_register.md,1874,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm_audit_2026_05_26/AGENT_MONITORING_AUDIT.md,19850,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm_audit_2026_05_26/STOP_AND_TRADE_MANAGEMENT_AUDIT.md,15072,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm_audit_2026_05_26/atm_reenable_gate_checklist.md,1612,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm_audit_2026_05_26/SYSTEM_ARCHITECTURE_COMPLETE.md,29747,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm_audit_2026_05_26/NEXT_PHASE_ATM_BURNIN_DRYRUN_PROMPT.md,1116,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm_audit_2026_05_26/CAPITAL_ALLOCATION_AUDIT.md,16741,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm_audit_2026_05_26/PROJECT_DOC_INDEX.md,28482,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm_audit_2026_05_26/00_README.md,1114,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm_audit_2026_05_26/HANDOFF_MANIFEST.md,3208,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm_audit_2026_05_26/atm_reenable_config_proposal.md,1128,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm_audit_2026_05_26/ATM_SYSTEM_AUDIT.md,19414,.md,HISTORICAL-REPORT,False,,ARCHIVE
atm_audit_2026_05_26/atm_reenable_modes.md,1163,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm_audit_2026_05_26/atm_reenable_readiness_evidence.md,2305,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm_audit_2026_05_26/atm_reenable_burn_in_plan.md,1467,.md,HISTORICAL-REPORT,True,,ARCHIVE
atm_audit_2026_05_26/atm_reenable_operator_runbook.md,1815,.md,HISTORICAL-REPORT,True,,ARCHIVE
